Sender,Subject,Date,Type
Volkswagen_India <newsletters@shopatbest.com>,Compact_Indian_Sedan_Discover_it_now.,"Mon, 30 Jul 2018 12:28:27 +0530",CATEGORY_UPDATES
Reliance Mutual fund <newsletters@smtpmailbox.com>,Congrats Dear bhambri.lakshay.lakshay@gmail.com You Can Save Your Tax Now,"Mon, 30 Jul 2018 12:29:12 +0530",CATEGORY_UPDATES
ICICIbank <newsletters@shopatbest.com>,check your updated Offer and No JoiningFee,"Mon, 30 Jul 2018 12:28:40 +0530",CATEGORY_UPDATES
Somya Translators Pvt Ltd <servicesc29teWF0cmFucy5pbg==@naukri.com>,Job | Hiring for the post of Project Associate/ Project Coordinator in East Delhi Location !!,"Mon, 30 Jul 2018 12:35:54 +0530",CATEGORY_UPDATES
RD INDIA <newsletters@shopatbest.com>,"Don’t Blame Me, if you miss this GREAT News!","Mon, 30 Jul 2018 12:01:31 +0530",CATEGORY_UPDATES
Axis Bank <newsletters@shopatbest.com>,Ready before you say ASAP. Instant Account Opening,"Mon, 30 Jul 2018 12:13:19 +0530",CATEGORY_UPDATES
AngelList Alerts <talent@angel.co>,"New job: Backend Developer at GST Edge, and 1 more match  - AngelList Talent","Mon, 30 Jul 2018 06:55:54 +0000 (UTC)",CATEGORY_UPDATES
TechGig Latest News <technews@techgig.com>,New rule allows deportation if H-1B extension is rejected | 5 Skills you need to become a Data Scientist,30 Jul 2018 11:57:53 +0530,CATEGORY_UPDATES
Notificationmail <newsletters@smtpmailbox.com>,GOOD NEWS bhambri.lakshay.lakshay@gmail.com START EARNING EXTRA INCOME FROM HOME,"Mon, 30 Jul 2018 11:34:03 +0530",CATEGORY_UPDATES
ICICIcard <newsletters@shopatbest.com>,"Hi Dear, Get ICICICard with great Benefits","Mon, 30 Jul 2018 10:55:46 +0530",CATEGORY_UPDATES
Pancard <newsletters@shopatbest.com>,Application for Applying New/Correction PanCard.,"Mon, 30 Jul 2018 11:15:59 +0530",CATEGORY_UPDATES
KentRO <newsletters@shopatbest.com>,Enjoy Free Service for 4 years With Kent,"Mon, 30 Jul 2018 10:51:48 +0530",CATEGORY_UPDATES
Adidas Official <newsletters@shopatbest.com>,Sporty wear for all days,"Mon, 30 Jul 2018 10:15:06 +0530",CATEGORY_UPDATES
ShopClues <no-reply@mail.shopcluescrm.com>,Freshness on your Cards,"Mon, 30 Jul 2018 11:18:33 +0800",CATEGORY_UPDATES
"""Freshersvista.com"" <support@freshersvista.com>","Call Letter for Accenture India on 1st August, 2018 - CTC Rs.9.50 LPA","Mon, 30 Jul 2018 01:34:49 +0000",CATEGORY_UPDATES
Interview Offer <jobs@techgig.com>,Deloitte Mega Off Campus Drive Hiring Freshers As Software Developer - Today Is Last Date To Apply,30 Jul 2018 06:29:50 +0530,CATEGORY_UPDATES
GeeksforGeeks <noreply+feedproxy@google.com>,GeeksforGeeks | New post | Why is programming important for first year or school students?,"Sun, 29 Jul 2018 17:31:54 +0000",CATEGORY_UPDATES
ChaiPoint <newsletters@shopatbest.com>,Start your Day with a Great Tea,"Sun, 29 Jul 2018 17:52:27 +0530",CATEGORY_UPDATES
Viralbake <newsletters@viralbake.com>,"Casting couch, Shocking Famous_Celebs","Sun, 29 Jul 2018 16:41:45 +0530",CATEGORY_UPDATES
Airtel Postpaid <contact@topicsontechemail.com>,75GB data +Amazon prime subscription @Rs.499*,"Sun, 29 Jul 2018 10:52:17 GMT",CATEGORY_UPDATES
ShopClues <info@offers.shopcluesmail.com>,OMG! Is this True?,"Sun, 29 Jul 2018 09:43:16 -0000",CATEGORY_UPDATES
TechGig Latest News <technews@techgig.com>,New H1b visa rule to kick off on September 11 | Canada: A new hot destination for tech jobs,29 Jul 2018 14:51:22 +0530,CATEGORY_UPDATES
FULLERTON india <newsletters@shopatbest.com>,Get PLoan within 72 hrs from Fullerton,"Sun, 29 Jul 2018 12:15:39 +0530",CATEGORY_UPDATES
Lets shave <newsletters@shopatbest.com>,Pick your Trial_Kit and free shipping,"Sun, 29 Jul 2018 10:45:39 +0530",CATEGORY_UPDATES
Confirmation mail <newsletters@shopatbest.com>,Dear bhambri.lakshay.lakshay@gmail.com Surpise Awaits You from Citibank,"Sun, 29 Jul 2018 12:48:49 +0530",CATEGORY_UPDATES
kent RO <newsletters@shopatbest.com>,Enjoy Free Service for 4 years With Kent RO,"Sun, 29 Jul 2018 12:08:50 +0530",CATEGORY_UPDATES
Confirmationmail <newsletters@smtpmailbox.com>,Dear bhambri.lakshay.lakshay@gmail.com Easy Loan With Approval From Fullerton,"Sun, 29 Jul 2018 12:12:55 +0530",CATEGORY_UPDATES
ICICIcard <newsletters@shopatbest.com>,"Hi Dear, Get ICICICard with great Benefits","Sun, 29 Jul 2018 11:55:59 +0530",CATEGORY_UPDATES
ICICIcard <newsletters@shopatbest.com>,"Hi Dear, Get ICICICard with great Benefits","Sun, 29 Jul 2018 11:40:12 +0530",CATEGORY_UPDATES
Sweta <notification@cashmeback.in>,Dear bhambri.lakshay.lakshay@gmail.com - Your Personal Loan has been Pre-Approved,"Sun, 29 Jul 2018 11:07:35 +0530",CATEGORY_UPDATES
Standard Chartered BANK <newsletters@shopatbest.com>,"Save upto Rs6,000 p.a, 20% Cashback on UberRides, MovieVouchers worth Rs1000 and More.","Sun, 29 Jul 2018 11:47:23 +0530",CATEGORY_UPDATES
Monster Jobs <jobmessenger@monsterindia.com>,"Lakshay, Top matching jobs for Software Engineer/ Programmer, Fresher",29 Jul 2018 05:23:50 -0000,CATEGORY_UPDATES
Report Score <newsletters@shopatbest.com>,CIBIL offers UNLIMITED SCORE ACCESS on cibil.com,"Sun, 29 Jul 2018 10:25:01 +0530",CATEGORY_UPDATES
Interview Call Letter <jobs@techgig.com>,Wipro MEGA Hiring For Freshers As Software Developers - Apply And Get Hired Today,29 Jul 2018 09:49:55 +0530,CATEGORY_UPDATES
RD India <newsletters@shopatbest.com>,The information inside can transform your life!,"Sun, 29 Jul 2018 09:35:11 +0530",CATEGORY_UPDATES
"""Freshersvista.com"" <support@freshersvista.com>","Call Letter for Accenture India on 1st August, 2018 - CTC Rs.9.50 LPA","Sun, 29 Jul 2018 01:34:51 +0000",CATEGORY_UPDATES
Khelo Jeeto Quiz <assessment@techgig.com>,Over 1000+ Freshers Have Already Participated! Where Are You?,29 Jul 2018 06:44:49 +0530,CATEGORY_UPDATES
Interview Offer <jobs@techgig.com>,Wipro Offering 4 LPA To Freshers As Software Developers - Apply And Get Hired Now,29 Jul 2018 06:31:21 +0530,CATEGORY_UPDATES
GeeksforGeeks <noreply+feedproxy@google.com>,GeeksforGeeks | New posts,"Sat, 28 Jul 2018 17:19:09 +0000",CATEGORY_UPDATES
Paytm <no-reply@paytm.com>,Bill Payment of Rs.8010 was Successful for BSES Yamuna 152109927,"Sat, 28 Jul 2018 17:11:10 +0000 (UTC)",CATEGORY_UPDATES
Paytm <no-reply@paytm.com>,"Refund for your failed Flat Rs.1,000 Cashback on flight ticket bookings.","Sat, 28 Jul 2018 17:11:08 +0000 (UTC)",CATEGORY_UPDATES
Ola Share <noreply@olacabs.com>,Ola Share Receipt for OSN1079876255,"Sat, 28 Jul 2018 19:40:49 +0530",CATEGORY_UPDATES
OlaMoney <noreply@olamoney.com>,Ola Money payment Confirmation,"Sat, 28 Jul 2018 17:55:43 +0530",CATEGORY_UPDATES
Yes Bank <newsletters@shopatbest.com>,"Dear Customer, You can personalize Bank_Account","Sat, 28 Jul 2018 16:20:16 +0530",CATEGORY_UPDATES
ShopClues <info@offers.shopcluesmail.com>,Shandaar. Zabardast. Zindabad,"Sat, 28 Jul 2018 10:46:29 -0000",CATEGORY_UPDATES
Reliance Money <newsletters@shopatbest.com>,Did you Miss out on Returns up to 9.51% Earnings?,"Sat, 28 Jul 2018 14:57:27 +0530",CATEGORY_UPDATES
Viralbake <newsletters@viralbake.com>,"Casting couch, Shocking Famous_Celebs","Sat, 28 Jul 2018 13:31:43 +0530",CATEGORY_UPDATES
IndianOil <newsletters@shopatbest.com>,Get 71 Liters FreeFuel and No joining Fee.,"Sat, 28 Jul 2018 13:28:01 +0530",CATEGORY_UPDATES
Vaco Binary Semantics LLP <konika.guptadmFjb2JpbmFyeS5pbg==@naukri.com>,Walk-in | Immediate joiners || HTML/XML/Javascript || Gurgaon,"Sat, 28 Jul 2018 13:49:07 +0530",CATEGORY_UPDATES
AngelList Alerts <talent@angel.co>,"New job: Machine Learning (NLP) Engineer at Mesh, and 3 more matches  - AngelList Talent","Sat, 28 Jul 2018 08:13:23 +0000 (UTC)",CATEGORY_UPDATES
TechGig Latest News <technews@techgig.com>,"Specialists wanted: Generalist techies, your days are numbered now | Why you don't need to know programming to get job in IT",28 Jul 2018 13:39:54 +0530,CATEGORY_UPDATES
Myntra <info@myntra.com>,We're giving you Rs.200!,"Sat, 28 Jul 2018 13:32:34 +0530",CATEGORY_UPDATES
Parul Bhardwaj <newsletters@shopatbest.com>,Loan_Facility Available for All Programs by NMIMS,"Sat, 28 Jul 2018 12:59:53 +0530",CATEGORY_UPDATES
Updated info <newsletters@shopatbest.com>,your credit report is ready for Checking,"Sat, 28 Jul 2018 11:32:40 +0530",CATEGORY_UPDATES
RD India <newsletters@shopatbest.com>,The information inside can transform your life!,"Sat, 28 Jul 2018 12:22:51 +0530",CATEGORY_UPDATES
AXIS ASAP <contact@topicsontechemail.com>,Ready before you say ASAP. Instant a/c Opening,"Sat, 28 Jul 2018 06:52:06 GMT",CATEGORY_UPDATES
Standard Chartered BANK <newsletters@shopatbest.com>,"Save upto Rs6,000 p.a, 20% Cashback on UberRides, MovieVouchers worth Rs1000 and More.","Sat, 28 Jul 2018 11:50:10 +0530",CATEGORY_UPDATES
confirmationmail <newsletters@shopatbest.com>,Hi bhambri.lakshay.lakshay@gmail.com Fastest Approval And Easy Repayment,"Sat, 28 Jul 2018 11:22:53 +0530",CATEGORY_UPDATES
Easyday <newsletters@viralbake.com>,Extra Dhamakedar_Membership apke liye,"Sat, 28 Jul 2018 11:23:11 +0530",CATEGORY_UPDATES
VOLKSWAGEN INDIA <newsletters@shopatbest.com>,"Luxury is Now just a test drive Away, Book yours Today","Sat, 28 Jul 2018 11:32:49 +0530",CATEGORY_UPDATES
Pancard <newsletters@shopatbest.com>,Application for Applying New PanCard.,"Sat, 28 Jul 2018 11:11:50 +0530",CATEGORY_UPDATES
Report score <newsletters@shopatbest.com>,Check your score and report here,"Sat, 28 Jul 2018 10:59:56 +0530",CATEGORY_UPDATES
"""Dr. Naina Basu"" <newsletters@smtpmailbox.com>",Dear bhambri.lakshay.lakshay@gmail.com Get A Full Body Checkup,"Sat, 28 Jul 2018 10:37:59 +0530",CATEGORY_UPDATES
RD India <newsletters@shopatbest.com>,The information inside can transform your life!,"Sat, 28 Jul 2018 10:45:17 +0530",CATEGORY_UPDATES
kent RO <newsletters@shopatbest.com>,Enjoy Free Service for 4 years With Kent RO,"Sat, 28 Jul 2018 10:37:10 +0530",CATEGORY_UPDATES
Naukri Alerts <naukrialerts@naukri.com>,"Java Fresher, Product Engineer in Bengaluru - Urgent Requirement","Fri, 27 Jul 2018 17:21:07 +0530",CATEGORY_UPDATES
CA Technologies <contest@techgig.com>,"Job | Opening for Software Engineer in CA Technologies, Bangalore",28 Jul 2018 08:02:51 +0530,CATEGORY_UPDATES
"""Freshersvista.com"" <support@freshersvista.com>","Call Letter for Accenture India on 1st August, 2018 - CTC Rs.9.50 LPA","Sat, 28 Jul 2018 01:32:39 +0000",CATEGORY_UPDATES
Placement Quiz <assessment@techgig.com>,"TCS, Infosys Online Placement Test For Freshers - Aptitude Test And Technical",28 Jul 2018 06:47:07 +0530,CATEGORY_UPDATES
Interview Offer <jobs@techgig.com>,Cognizant Technologies Solutions Offering 4 LPA To Freshers As Software Developers - Apply And Get Hired Now,28 Jul 2018 06:31:30 +0530,CATEGORY_UPDATES
"""Dictionary.com"" <doctor@dictionary.com>",Break Through Writer's Block With These Writerly Quotes,"Fri, 27 Jul 2018 18:10:42 -0400 (EDT)",CATEGORY_UPDATES
DZone Top 5 Picks <mailer@dzone.com>,How to Use Java Stream Collectors,"Fri, 27 Jul 2018 18:02:11 +0000",CATEGORY_UPDATES
GeeksforGeeks <noreply+feedproxy@google.com>,GeeksforGeeks | New posts,"Fri, 27 Jul 2018 17:45:52 +0000",CATEGORY_UPDATES
Zomato Order <order@zomato.com>,Your Zomato order from La Pino'z Pizza,"Fri, 27 Jul 2018 17:15:35 +0000 (UTC)",CATEGORY_UPDATES
Naukri Alerts <naukrinewalerts@naukri.com>,"Lakshay Bhambri, check out the jobs applied by other Technical Analyst","Fri, 27 Jul 2018 20:05:52 +0530",CATEGORY_UPDATES
Ola Share <noreply@olacabs.com>,Ola Share Receipt for OSN1079158139,"Fri, 27 Jul 2018 19:48:30 +0530",CATEGORY_UPDATES
OlaMoney <noreply@olamoney.com>,Ola Money payment Confirmation,"Fri, 27 Jul 2018 19:15:15 +0530",CATEGORY_UPDATES
Braineet <hello@braineet.com>,💡 Highlights of the week,"Fri, 27 Jul 2018 13:24:01 +0000 (UTC)",CATEGORY_UPDATES
First Advantage <newsletters@shopatbest.com>,Here you can Verify_Employees before Hiring,"Fri, 27 Jul 2018 15:04:13 +0530",CATEGORY_UPDATES
Myntra <info@myntra.com>,Are Discounts of 50-80% Enough?,"Fri, 27 Jul 2018 15:12:58 +0530",CATEGORY_UPDATES
July CreditScore <contact@topicsontechemail.com>," , Your credit score is generated.","Fri, 27 Jul 2018 09:15:28 GMT",CATEGORY_UPDATES
IndiGo Advance Pass <reservations@goindigo.in>,Boarding Pass for PNR QYTM9F,27 Jul 2018 14:45:13 +0530,CATEGORY_UPDATES
Naukri <ambitionbox@naukri.com>,"Lakshay, How is Abyeti Technologies as a workplace?","Fri, 27 Jul 2018 14:39:58 +0530",CATEGORY_UPDATES
AngelList Alerts <talent@angel.co>,"New job: PHP Developer at ANTS Digital, and 10 more matches  - AngelList Talent","Fri, 27 Jul 2018 08:38:32 +0000 (UTC)",CATEGORY_UPDATES
Reminder Mail <newsletters@shopatbest.com>,"Congratulations, You Have Saved 71 Litres Fuel On Your Card","Fri, 27 Jul 2018 14:02:49 +0530",CATEGORY_UPDATES
Reliance MF <newsletters@shopatbest.com>,"Invest Systematically, Start Your SIP Now.","Fri, 27 Jul 2018 13:18:04 +0530",CATEGORY_UPDATES
TechGig Latest News <technews@techgig.com>,US to revoke work permits; 1 lakh to lose jobs | Career alert: Demand for Data Scientists up by 400% in India,27 Jul 2018 13:28:50 +0530,CATEGORY_UPDATES
Limited Edition <newsletters@shopatbest.com>,Limited Offer on SPOT Bookings by TATA VALUE HOMES.,"Fri, 27 Jul 2018 12:48:22 +0530",CATEGORY_UPDATES
Ola <noreply@olacabs.com>,Plan a road trip with friends!,"Fri, 27 Jul 2018 12:56:19 +0530",CATEGORY_UPDATES
ICICI_Bank <newsletters@shopatbest.com>,Plan a destination wedding with ICICI_PL,"Fri, 27 Jul 2018 11:59:04 +0530",CATEGORY_UPDATES
MASALA BOX <newsletters@masalabox.net>,YAY ITS FRIDAY!,"Fri, 27 Jul 2018 07:04:30 +0000",CATEGORY_UPDATES
Kirti Garg <newsletters@viralbake.com>,Capture Your All Lovely_Moments Perfectly.,"Fri, 27 Jul 2018 11:39:46 +0530",CATEGORY_UPDATES
Standard Chartered Bank <newsletters@shopatbest.com>,"Save upto Rs6,000 p.a, 20% Cashback on UberRides, MovieVouchers worth Rs1000 and More","Fri, 27 Jul 2018 12:11:14 +0530",CATEGORY_UPDATES
kent RO <newsletters@shopatbest.com>,Enjoy Free Service for 4 years With Kent RO,"Fri, 27 Jul 2018 11:25:13 +0530",CATEGORY_UPDATES
Beginner Code Champ <contest@techgig.com>,Solve 1 Easy Level Problem And Win E-Vouchers Of Amazon,27 Jul 2018 11:42:13 +0530,CATEGORY_UPDATES
confirmation mail <newsletters@shopatbest.com>,Instant Approval Of Your Card Here,"Fri, 27 Jul 2018 10:54:46 +0530",CATEGORY_UPDATES
Monster Jobs <jobmessenger@monsterindia.com>,"Lakshay, Top matching jobs for Software Engineer/ Programmer, Fresher",27 Jul 2018 02:20:47 -0000,CATEGORY_UPDATES
Esha from Eckovation <info@eckmarket.in>,Learn Machine Learning and IoT + Better Job Opportunities,"Fri, 27 Jul 2018 02:13:56 +0000",CATEGORY_UPDATES
"""Freshersvista.com"" <support@freshersvista.com>","Call Letter for Accenture India on 1st August, 2018 - CTC Rs.9.50 LPA","Fri, 27 Jul 2018 01:34:17 +0000",CATEGORY_UPDATES
Interview Call Letter <jobs@techgig.com>,Infosys Off Campus Drive Hiring Freshers As Software Developers - Registration Link Active - Apply Now,27 Jul 2018 06:29:51 +0530,CATEGORY_UPDATES
"""Amazon.in Marketplace"" <marketplace-messages@amazon.in>","Lakshay Bhambri, regarding your recent order at Amazon.in.","Thu, 26 Jul 2018 23:38:44 +0000",CATEGORY_UPDATES
Noble Nelson <info@aegisemail.com>,"Lakshay Bhambri, Apply for IBM certified PGP/MS in Cyber Security","Thu, 26 Jul 2018 18:29:50 +0000",CATEGORY_UPDATES
GeeksforGeeks <noreply+feedproxy@google.com>,GeeksforGeeks | New posts,"Thu, 26 Jul 2018 17:04:28 +0000",CATEGORY_UPDATES
Axis Bank Alerts <alerts@axisbank.com>,Notification from Axis Bank,"Thu, 26 Jul 2018 21:23:31 +0530",CATEGORY_UPDATES
"""Naukri.com Recruiters"" <naukrirecruiteralerts@naukri.com>",Follow jobs of Agreeya recruiters,"Thu, 26 Jul 2018 20:49:07 +0530",CATEGORY_UPDATES
Myntra <info@myntra.com>,50-80% Off on Best Styles,"Thu, 26 Jul 2018 20:28:04 +0530",CATEGORY_UPDATES
"""Dictionary.com"" <doctor@dictionary.com>",Words of wisdom that will motivate you to write more,"Thu, 26 Jul 2018 09:13:11 -0400 (EDT)",CATEGORY_UPDATES
ShopClues <info@offers.shopcluesmail.com>,Pick your Favourite!,"Thu, 26 Jul 2018 12:32:26 -0000",CATEGORY_UPDATES
DZone <mailer@dzone.com>,"Building Next-Gen Apps, Preventing Account Takeover, and FaunaDB","Thu, 26 Jul 2018 12:06:47 +0000",CATEGORY_UPDATES
Reliance MutualFund <newsletters@shopatbest.com>,"Invest Systematically, Start your SIP Now","Thu, 26 Jul 2018 17:27:48 +0530",CATEGORY_UPDATES
Swiggy <no-reply@swiggy.in>,Your Swiggy order no. 15672256332 has been delivered,"Thu, 26 Jul 2018 09:44:00 +0000 (UTC)",CATEGORY_UPDATES
PAN CARD <newsletters@shopatbest.com>,Apply New + Lost + Duplicate PAN Card Application Form.,"Thu, 26 Jul 2018 13:09:39 +0530",CATEGORY_UPDATES
Paytm <alerts@paytm.com>,You paid Rs. 104.00 to swiggy,"Thu, 26 Jul 2018 09:24:18 +0000 (UTC)",CATEGORY_UPDATES
Swiggy <noreply@swiggy.in>,"Your receipt for Swiggy order 15672256332 from Jul 26,2018","Thu, 26 Jul 2018 09:24:18 +0000",CATEGORY_UPDATES
Confirmationmail <newsletters@smtpmailbox.com>,"Congrats bhambri.lakshay.lakshay@gmail.com Your Citi Bank Card is Approved,Check Now","Thu, 26 Jul 2018 14:40:16 +0530",CATEGORY_UPDATES
IndianOil <newsletters@shopatbest.com>,No Joining fee and 71Liters Free Fuel.,"Thu, 26 Jul 2018 13:28:12 +0530",CATEGORY_UPDATES
AngelList Alerts <talent@angel.co>,"New job: Tableau Developer at Neetable, and 4 more matches  - AngelList Talent","Thu, 26 Jul 2018 08:30:03 +0000 (UTC)",CATEGORY_UPDATES
ICICIcard <newsletters@shopatbest.com>,"Hi Dear, Get ICICICard with great Benefits","Thu, 26 Jul 2018 13:17:51 +0530",CATEGORY_UPDATES
confirmation mail <newsletters@shopatbest.com>,bhambri.lakshay.lakshay@gmail.com Start your own Preschool with Kidzee,"Thu, 26 Jul 2018 12:45:49 +0530",CATEGORY_UPDATES
TechGig Latest News <technews@techgig.com>,H-1B visa denials go up because of Trumpu2019s policies | 7 active job openings at Infosys you cannot afford to miss,26 Jul 2018 13:24:20 +0530,CATEGORY_UPDATES
Standard Chartered Bank <newsletters@shopatbest.com>,"Save upto Rs6,000 p.a, 20% Cashback on UberRides, MovieVouchers worth Rs1000 and More","Thu, 26 Jul 2018 13:03:51 +0530",CATEGORY_UPDATES
Report score <newsletters@shopatbest.com>,CIBIL Offers UNLIMITED SCORE ACCESS on cibil.com,"Thu, 26 Jul 2018 12:55:19 +0530",CATEGORY_UPDATES
ATL Education Foundation <konYXRsZm91bmRhdGlvbi5jb20=@naukri.com>,"Job | Grab the exciting opportunity in PHP Developer at NSP, Delhi","Thu, 26 Jul 2018 12:48:59 +0530",CATEGORY_UPDATES
PNB Home Loan <newsletters@shopatbest.com>,PNB Housing home loan for Self Employed| Doorstep Service | Apply Now !!,"Thu, 26 Jul 2018 12:58:41 +0530",CATEGORY_UPDATES
KENT RO <newsletters@shopatbest.com>,Enjoy Free Service for 4 years With Kent RO.,"Thu, 26 Jul 2018 12:35:58 +0530",CATEGORY_UPDATES
ECL FINANCE <newsletters@shopatbest.com>,Get Benefits & Earn upto 9.85 Percent pa,"Thu, 26 Jul 2018 12:01:33 +0530",CATEGORY_UPDATES
RD India <newsletters@shopatbest.com>,The information inside can transform your life,"Thu, 26 Jul 2018 12:28:10 +0530",CATEGORY_UPDATES
"""Reliancesmartmoney.com"" <newsletters@shopatbest.com>",Check What is Right for your Money Now,"Thu, 26 Jul 2018 12:18:27 +0530",CATEGORY_UPDATES
ICICIcard <newsletters@shopatbest.com>,"Hi Dear, Get ICICICard with great Benefits","Thu, 26 Jul 2018 11:35:58 +0530",CATEGORY_UPDATES
Axis Bank <axisbank@service.axisbankmail.com>,Check these new features on Axis Mobile,"Thu, 26 Jul 2018 05:15:30 +0000 (GMT)",CATEGORY_UPDATES
CA Technologies <contest@techgig.com>,"Job | Opening for Software Engineer in CA Technologies, Bangalore",26 Jul 2018 10:16:56 +0530,CATEGORY_UPDATES
Zomato Order <order@zomato.com>,Your Zomato order from Apna Punjab,"Thu, 26 Jul 2018 04:06:47 +0000 (UTC)",CATEGORY_UPDATES
Naukri Alerts <naukrialerts@naukri.com>,"Urgent Requirement in Bengaluru for Java Fresher, Full Stack Developer","Wed, 25 Jul 2018 12:12:15 +0530",CATEGORY_UPDATES
<ebill@airtel.com>,Your Airtel Mobile Bill for 8375998988 for 24-Jul-2018 is ready to view,"Thu, 26 Jul 2018 08:50:44 +0530",CATEGORY_UPDATES
Paytm <no-reply@paytm.com>,Your Delhi - Bengaluru (05 Aug 2018) flight ticket,"Thu, 26 Jul 2018 03:15:39 +0000 (UTC)",CATEGORY_UPDATES
IndiGo <reservations@customer.goindigo.in>,Your IndiGo Itinerary - YK92QK,"Thu, 26 Jul 2018 08:45:11 +0530",CATEGORY_UPDATES
Paytm <alerts@paytm.com>,Rs 700 added as cashback in Paytm wallet,"Thu, 26 Jul 2018 03:15:07 +0000 (UTC)",CATEGORY_UPDATES
Paytm <no-reply@paytm.com>,Your Bengaluru - Delhi (28 Jul 2018) flight ticket,"Thu, 26 Jul 2018 01:32:48 +0000 (UTC)",CATEGORY_UPDATES
IndiGo <reservations@customer.goindigo.in>,Your IndiGo Itinerary - QYTM9F,"Thu, 26 Jul 2018 07:02:31 +0530",CATEGORY_UPDATES
Paytm <alerts@paytm.com>,Rs 300 added as cashback in Paytm wallet,"Thu, 26 Jul 2018 01:32:15 +0000 (UTC)",CATEGORY_UPDATES
Interview Call Letter <jobs@techgig.com>,Reliance Jio Offering AWESOME Package To Freshers As Software Developers - Apply Today And Get Hired Now,26 Jul 2018 06:30:47 +0530,CATEGORY_UPDATES
Naukri Alerts <naukrinewalerts@naukri.com>,"Lakshay Bhambri, check out the jobs applied by other Technical Analyst","Wed, 25 Jul 2018 14:40:54 +0530",CATEGORY_UPDATES
Josh Morony <me@joshmorony.com>,[joshmorony.com] The Ionic Framework 4.0 Beta is out! (...and other stuff),"Wed, 25 Jul 2018 16:09:47 +0000",CATEGORY_UPDATES
Zomato Order <order@zomato.com>,Your Zomato order from Shiv Shakthi,"Wed, 25 Jul 2018 13:48:13 +0000 (UTC)",CATEGORY_UPDATES
ShopClues <info@offers.shopcluesmail.com>,Month ka Sabsa Bada Surprise,"Wed, 25 Jul 2018 12:37:22 -0000",CATEGORY_UPDATES
Viralbake <newsletters@viralbake.com>,Another Virat Kohli In Indian Sports,"Wed, 25 Jul 2018 17:03:42 +0530",CATEGORY_UPDATES
IndianOil <newsletters@shopatbest.com>,Get 71Liters FreeFuel & No joining Fee,"Wed, 25 Jul 2018 14:57:38 +0530",CATEGORY_UPDATES
AngelList Alerts <talent@angel.co>,"New job: backend Developer at Manifest, and 5 more matches  - AngelList Talent","Wed, 25 Jul 2018 08:29:37 +0000 (UTC)",CATEGORY_UPDATES
SSCBS DELHI AlmaConnect <coordinator@almaconnect.co>,3 New Updates For You on SSCBS DELHI AlmaConnect,"Wed, 25 Jul 2018 08:04:37 +0000",CATEGORY_UPDATES
ECL Finance Ltd <newsletters@shopatbest.com>,"Hi Dear, Earn up to 9.85% pa with ECL Finance","Wed, 25 Jul 2018 13:02:28 +0530",CATEGORY_UPDATES
Swiggy <no-reply@swiggy.in>,Your Swiggy order no. 15579297206 has been delivered,"Wed, 25 Jul 2018 07:59:45 +0000 (UTC)",CATEGORY_UPDATES
ericsson-jobnotification@noreply.jobs2web.com,New jobs posted from jobs.ericsson.com,"Wed, 25 Jul 2018 02:43:42 -0500 (CDT)",CATEGORY_UPDATES
Aditya Birla Capital <newsletters@shopatbest.com>,Protect your tommorow along with tax saving benefits.,"Wed, 25 Jul 2018 13:09:55 +0530",CATEGORY_UPDATES
Swiggy <noreply@swiggy.in>,"Your receipt for Swiggy order 15579297206 from Jul 25,2018","Wed, 25 Jul 2018 07:34:59 +0000",CATEGORY_UPDATES
Paytm <alerts@paytm.com>,You paid Rs. 79.00 to swiggy,"Wed, 25 Jul 2018 07:34:59 +0000 (UTC)",CATEGORY_UPDATES
VENTURA SECURITIES <newsletters@shopatbest.com>,Check Your free Account details,"Wed, 25 Jul 2018 12:15:00 +0530",CATEGORY_UPDATES
Insure your HEALTH <newsletters@shopatbest.com>,Single Policy for Entire Family,"Wed, 25 Jul 2018 12:28:59 +0530",CATEGORY_UPDATES
Sobha Serene <newsletters@shopatbest.com>,"Come Home to a Great Lifestyle Sobha Serene, Chennai","Wed, 25 Jul 2018 11:33:46 +0530",CATEGORY_UPDATES
Parul Bhardwaj <newsletters@shopatbest.com>,Loan_Facility Available for All Programs by NMIMS,"Wed, 25 Jul 2018 11:46:49 +0530",CATEGORY_UPDATES
Citi Bank <newsletters@shopatbest.com>,bhambri.lakshay.lakshay@gmail.com Exclusive Citi Offer for you,"Wed, 25 Jul 2018 11:27:24 +0530",CATEGORY_UPDATES
"""Freshersvista.com"" <support@freshersvista.com>","Call Letter for Oracle India on 25th July, 2018 - CTC Rs.11.25 LPA","Wed, 25 Jul 2018 05:32:01 +0000",CATEGORY_UPDATES
Easyday <newsletters@shopatbest.com>,Apka Easy Day Parivaar mein swagat hai,"Wed, 25 Jul 2018 10:47:04 +0530",CATEGORY_UPDATES
kent RO <newsletters@shopatbest.com>,Enjoy Free Service for four years With Kent RO.,"Wed, 25 Jul 2018 10:46:07 +0530",CATEGORY_UPDATES
Axis Bank <axisbank@service.axisbankmail.com>,Grow your Savings with Axis Bank Fixed Deposits.,"Wed, 25 Jul 2018 05:15:36 +0000 (GMT)",CATEGORY_UPDATES
Indian Oil <newsletters@shopatbest.com>,No Joining fee and 71 Liters Free Fuel,"Wed, 25 Jul 2018 10:24:45 +0530",CATEGORY_UPDATES
